title,body,tituloBemDefinido,tituloMedio,tituloCaixaAlta,tituloParCaixaAlta,coerencia,perguntaBemDefinida,vocativo,evDescricaoCurta,evDescricaoLonga,presencaCodigo,evTrechoGrandeCodigo,evPergComApenasCod,perguntaUnica,incluirAgradecimento,evSerExigente,usoNormaCultaLing,evCriarPergDuplicada,evPergFactoides,evPergSobreTrabAcademicos,incluirLinkPergunta,link
Não consigo cadastrar uma ArrayList em Java,"Estou fazendo uma aplicação Java (console). Na hora de cadastrar um arraylist até vai, mas na hora de mostrar, ela me mostra lixo.

O que eu faço? Segue o código:

Classe principal main:

//classe main

import java.util.Scanner;


 public class ProvaJava {

    public static void main(String[] args) {
    // TODO code application logic here
        int op;
        Scanner ler = new Scanner(System.in);
        Loja Cliente_cad = new Loja();
        System.out.println(""Digite 1 para cadastrar""); 
        op=ler.nextInt();
        /*System.out.println(""Digite 2 para mostrar""); 
       op=ler.nextInt();*/
       if(op==1){
           Cliente_cad.Cadastrar_Cliente();
           Cliente_cad.mostraCliente();
       }
   }
}
Classe cliente:

import java.util.Date;

public class Cliente {

     public int Cod_Clie;
     public String Nome_Clie;
     public String CPF_Clie;
     public  String Dia_Nascimento_Clie;
     public  String Mes_Nascimento_Clie;
     public  String Ano_Nascimento_Clie;
     public  String Senha_Clie;
     public  String Telefone_Clie;

//Metodos

    public String getNome_Clie() {
        return Nome_Clie;
    }
    public void setNome_Clie(String Nome_Clie) {    
        this.Nome_Clie = Nome_Clie;
    }

    public int getCod_Clie() {
        return Cod_Clie;
    }

    public void setCod_Clie(int Cod_Clie) {
        this.Cod_Clie = Cod_Clie;
    }

    public String getCPF_Clie() {
        return CPF_Clie;
    }

    public void setCPF_Clie(String CPF_Clie) {
        this.CPF_Clie = CPF_Clie;
    }

    public String getDia_Nascimento_Clie() {
        return Dia_Nascimento_Clie;
    }

    public void setDia_Nascimento_Clie(String Dia_Nascimento_Clie) {
        this.Dia_Nascimento_Clie = Dia_Nascimento_Clie;
    }

    public String getMes_Nascimento_Clie() {
        return Mes_Nascimento_Clie;
    }

    public void setMes_Nascimento_Clie(String Mes_Nascimento_Clie) {
        this.Mes_Nascimento_Clie = Mes_Nascimento_Clie;
    }

    public String getAno_Nascimento_Clie() {
        return Ano_Nascimento_Clie;
    }

    public void setAno_Nascimento_Clie(String Ano_Nascimento_Clie) {
        this.Ano_Nascimento_Clie = Ano_Nascimento_Clie;
    }

    public String getSenha_Clie() {
        return Senha_Clie;
    }

    public void setSenha_Clie(String Senha_Clie) {
        this.Senha_Clie = Senha_Clie;
    }

    public String getTelefone_Clie() {
        return Telefone_Clie;
    }

    public void setTelefone_Clie(String Telefone_Clie) {
        this.Telefone_Clie = Telefone_Clie;
    }

}
Classe loja:

import java.util.ArrayList;
import java.util.Scanner;
/**
 *
 * @author Mariane
 */
public class Loja {
 ArrayList<Cliente> clientes = new ArrayList();


    // variaveis
    protected int codi=0;
    protected String nome;
    protected String cpf;
    protected String Dia_Nascimento_Clie;
    protected String Mes_Nascimento_Clie;
    protected String Ano_Nascimento_Clie;
    protected String Senha_Clie;
    protected String Telefone_Clie;


  //metodos


   public void Cadastrar_Cliente(){
        Scanner ler = new Scanner(System.in); 
        Cliente Cliente_cad = new Cliente();
        codi=codi + 1;
        Cliente_cad.setCod_Clie(codi);
        System.out.println(""Digite o nome do Cliente"");
        nome=ler.nextLine();
        Cliente_cad.setNome_Clie(nome);
        System.out.println(""Digite o CPF do Cliente"");
        cpf=ler.nextLine();
        Cliente_cad.setCPF_Clie(cpf);
        System.out.println(""Digite o dia de Nascimento do Cliente"");
        Dia_Nascimento_Clie=ler.nextLine();
        Cliente_cad.setDia_Nascimento_Clie(Dia_Nascimento_Clie);
        System.out.println(""Digite o mes de Nascimento do Cliente"");
        Mes_Nascimento_Clie=ler.nextLine();
        Cliente_cad.setMes_Nascimento_Clie(Mes_Nascimento_Clie);
        System.out.println(""Digite o ano de Nascimento do Cliente""); 
        Ano_Nascimento_Clie=ler.nextLine();
        Cliente_cad.setAno_Nascimento_Clie(Ano_Nascimento_Clie);
        System.out.println(""Digite a senha do Cliente"");
        Senha_Clie=ler.nextLine();
        Cliente_cad.setSenha_Clie(Senha_Clie);
        System.out.println(""Digite o telefone do Cliente"");  
        Telefone_Clie=ler.nextLine();
        Cliente_cad.setTelefone_Clie(Telefone_Clie);
        clientes.add(Cliente_cad);
    }

    public void mostraCliente(){
       System.out.println(""Teste"");
       System.out.println(""Numero de clientes: "" +clientes.size() );
       for(int i=0;i<clientes.size();i++){
       System.out.println(""\nCodigo do Cliente:"" + clientes.get(i));
       System.out.println(""\nNome:"" + clientes.get(i));  
       System.out.println(""\nCPF:"" + clientes.get(i)); 
       System.out.println(""\nDia de Nascimento:"" + clientes.get(i));  
       System.out.println(""\nMes de Nascimento:"" + clientes.get(i)); 
       System.out.println(""\nAno de Nascimento:"" + clientes.get(i));
       System.out.println(""\nSenha:"" + clientes.get(i));
       System.out.println(""\nTelefone:"" + clientes.get(i));
     }
   }
}",1,1,0,0,1,0,0,1,1,1,0,1,1,0,1,1,1,1,1,http://pt.stackoverflow.com/questions/124673/n%C3%A3o-consigo-cadastrar-uma-arraylist-em-java,
Aquisição de dados por parte da JTable,"Estou a tentar que o JButtonGuardar(panelInserir) passe os dados introduzidos pelo utilizador(texto hora local) do JPanelInserir para o JPanelEventos(onde está a JTable)

De momento, não estou a obter sucesso, se tiverem alguma sugestão deixo a seguir o código de onde está ocorrendo o problema:

erro: Exception in thread ""AWT-EventQueue-0"" java.lang.NullPointerException at net.ruimendes.Tentativa$8.actionPerformed(Tentativa.java:417)
Código de onde está ocorrendo o erro:

JButton btnGuardar = new JButton(""Guardar"");
btnGuardar.addActionListener(new ActionListener() {
    public void actionPerformed(ActionEvent e) {
        try {
            double hora = Double.parseDouble(textHoraInicio.getText());
            String texto = textTexto.getText();
            String local = textLocal.getText();
            Agendado agen = new Agendado(hora, texto, local);
            eventoAtual.adicionaAgendado(agen);
            textHoraInicio.setText(String.format(""%.2f"", eventoAtual.getHora()));
            textHoraInicio.setText("""");
            textTexto.setText("""");
            textLocal.setText("""");
        } catch (NumberFormatException e1) {

            e1.printStackTrace();
        } catch (AgendadoNuloException e1) {
            // TODO Auto-generated catch block
            e1.printStackTrace();
        }


    }
});",1,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,http://pt.stackoverflow.com/questions/124588/aquisi%C3%A7%C3%A3o-de-dados-por-parte-da-jtable,
Calcular valor delta para assertEquals em JUnit,"Saudações.

Qual a melhor forma de calcular o valor delta do método assertEquals(message, expected, actual, delta) do JUnit?",1,1,0,0,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,http://pt.stackoverflow.com/questions/124070/calcular-valor-delta-para-assertequals-em-junit,
Como ocorre a recursividade no código a seguir,"Gostaria de entender, pois não consigo vislumbrar mentalmente como ocorre no trecho: return fat * fatorial.fatorar(fat-1);, a questão da recursividade, no que concerne as chamadas do próprio método fatorar em relação a multiplicação com o fat.

public class FatorialRecursiva
{   
   public static void main(String[] args)
   {
       FatorialRecursiva fatorial = new FatorialRecursiva();
       double dado = 5.0;
       dado = fatorial.fatorar(dado);

       System.out.print(dado);
   }

   public double fatorar(double fat)
   {
       if (fat < 2)
       {
           return 1;
       }else
       {
           return fat *  fatorar(fat-1);
       }
   }
}",1,1,0,0,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,http://pt.stackoverflow.com/questions/123731/como-ocorre-a-recursividade-no-c%C3%B3digo-a-seguir,
Aprovar ou recusar uma requisição através do HandlerInterceptorAdapter,"Sabe-se que todas as requisições por @RequestMapping são ""públicas"", onde qualquer usuário pode acessá-las através do navegador.

A questão é, como aprovar Requests onde apenas o sistema pode requisitar e recusar tal request caso sejá acessado pelo usuário diretamente no navegador.

Atualmente estou validando uma key vinda do Request Header, porém existem plugins que podem alterar o header, ""cagando"" com toda a lógica.

Para melhor entendimento, estou usando o seguinte codigo para verificar a key, onde caso o request tenha a key que estou comparando, ele deixa o request ser executado, se não ele bloqueia.

@Override
public boolean preHandle(HttpServletRequest request,HttpServletResponse response,Object controller) throws Exception {

    String Accept = request.getHeader(""Authority"");

    if(Accept != null && Accept.equalsIgnoreCase(""KeyDefinida"")){
        return true;    
    }
    return false;
}
Chamada ajax

$.ajax
({
   url: """",
   headers: {          
     ""Authority"" : ""KeyDefinida""
   },",1,1,0,0,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,http://pt.stackoverflow.com/questions/123581/aprovar-ou-recusar-uma-requisi%C3%A7%C3%A3o-atrav%C3%A9s-do-handlerinterceptoradapter,
Como destruir uma session em java?,"Para invalidar uma sessão, meu professor passou o seguinte código:

HttpSession session = request.getSession(false);  
    if (session!=null){
        session.invalidate();
    }
Mas depois do logout, quando eu clico em Voltar no browser, consigo recuperar a mesma em que havia logado. Como consigo eliminá-la? Agradeço desde já!",1,1,0,0,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,http://pt.stackoverflow.com/questions/123498/como-destruir-uma-session-em-java,
Como sobrescrever método equals?,"Estou tentando sobrescrever o método equals para em vez de validar se um objeto inteiro é igual ao outro apenas verificar se um valor neste objeto é igual ao outro.

Cenário Real: Objeto Aluno sendo ele. nome e rg, e idade se o rg for igual quer dizer que eles são a mesma pessoa.

Classe Aluno:

public class Aluno {

   private static String nome;
   private static float rg;
   private static int idade;

   public Aluno(String nome, float rg, int idade) {
      this.nome = nome;
      this.rg = rg;
      this.idade = idade;
   }

   public boolean equals(Aluno a) {
      boolean result = false;
      if (this.getRg() == a.getRg()) {
         result = true;
      }
      return result;
   }   

   // getters and setters

}
Classe Main:

public class main {

   public static void main(String[] args) {
      Aluno a1 = new Aluno(""A"", 12, 20);
      Aluno a2 = new Aluno(""B"", 11, 25);
      Aluno a3 = new Aluno(""A"", 25, 28);
      Aluno a4 = new Aluno(""D"", 12, 21);
      System.out.println(a1.equals(a3)); // aqui deveria retornar false
      System.out.println(a1.equals(a4)); // aqui deveria retornar true
   }
}
Pelo visto estou fazendo uma confusão em pegar o ""this"" que é o valor do objeto antes do .equals.",1,1,0,0,1,1,0,1,1,1,1,1,1,0,1,0,1,1,1,http://pt.stackoverflow.com/questions/122978/como-sobrescrever-m%C3%A9todo-equals,
Tem como eu ver a implementação dos códigos da API do Java?,"Estou iniciando em Java, e acho super legal a vasta biblioteca do Java, com muitas classes e métodos que facilitam o nosso trabalho. Até no livro do Deitel recomenda o uso por vários motivos.

Eu uso alguns métodos, mas como estou iniciando, gostaria de entender a implementação de alguns. Tem alguma maneira de eu acessá-los?",1,1,0,1,1,0,0,1,1,0,1,1,1,0,1,1,1,1,1,http://pt.stackoverflow.com/questions/122971/tem-como-eu-ver-a-implementa%C3%A7%C3%A3o-dos-c%C3%B3digos-da-api-do-java,
Pegando primeira e última data do mês anterior,"Estou utilizando no Eclipse o Selenium, para automatização de envio de comandos pra um site, através de arquivos JAVA. Nesse site, preciso fazer uma consulta de datas. Eu fiz assim pra testar:

element = driver.findElement(By.name(""form:dtEmissao_input""));
element.sendKeys(""01/04/2016"");
element = driver.findElement(By.name(""form:emissFim_input""));
element.sendKeys(""12/04/2016"");
Contudo, eu queria que ele sempre pegue o primeiro e o último dia do mês anterior. Como eu posso fazer isso? Precisa importar alguma biblioteca no meu arquivo JAVA?",1,1,0,0,1,1,0,1,1,1,1,1,0,0,1,1,1,1,1,http://pt.stackoverflow.com/questions/122881/pegando-primeira-e-%C3%BAltima-data-do-m%C3%AAs-anterior,
Como fazer uma expressão regular para validar senha JSF,"Preciso de uma expressão regular para validar senha conforme abaixo:

A senha precisa ser no padrão: ipe@1234 (letras, caracteres especiais e números)

Estou usando essa abaixo, só que não valida, da erro:

<p:password id=""passwordInput"" class=""password"" size=""35""
maxlength=""20"" value=""#{funcionarioBean.novaSenha}""
required=""true"" validatorMessage=""Senha válida somente no padrão ipe@1234."">
<f:validateRegex pattern=""((?=.\\d)(?=.[a-z])(?=.[A-Z])(?=.[@#$%]).{6,20})""/>
</p:password>
Sempre aparece a mensagem ""Senha válida somente no padrão ipe@1234"", mesmo usando a senha ipe@1234.

Esse é o xhtml que estou usando para fazer a validação:

<ui:define name=""conteudo"">
        <p:growl id=""frmLoginGeral"" />
        <div id=""redefinir"">
            <h:form>
                <input type=""hidden"" id=""idFunc"" name=""idFunc""
                    value=""#{param['id']}"" />
                <div class=""senha"">
                    <div class=""row2"">
                        <p:outputLabel class=""nova_senha"" value=""Crie uma nova senha"" />
                        <br /> <br />
                    </div>
                    <div class=""row_center"">
                        <div class=""row3"">
                            <p:outputLabel class=""label_senha"" value=""Crie sua nova senha: "" />
                            <br />
                            <p:password id=""passwordInput"" class=""password"" size=""35""
                                maxlength=""20"" value=""#{funcionarioBean.novaSenha}""
                                required=""true""
                                validatorMessage=""Senha válida somente no padrão ipe@1234."">
                                <f:validateRegex
                                    pattern=""((?=.*\d)(?=.*[a-zA-Z])(?=.*[@#$%])[a-zA-Z0-9@$$%]{8,20})""/>
                            </p:password>
                            * <br /> <br />
                            <p:outputLabel class=""label_senha""
                                value=""Confirme sua nova senha: "" />
                            <br />
                            <p:password id=""passwordInput2"" class=""password"" size=""35""
                                maxlength=""20"" value=""#{funcionarioBean.novaSenhaConfirma}"" />
                            * <br /> <br />
                        </div>
                        <h:commandButton class=""botao"" value=""Confirmar""
                            actionListener=""#{funcionarioBean.gerarSenha}""
                            update="":frmLoginGeral"" />
                    </div>
                </div>
            </h:form>
        </div>
    </ui:define>
E essa é a mensagem de erro:

 WARNING: org.hibernate.service.UnknownServiceException: Unknown service requested [org.hibernate.engine.jdbc.connections.spi.ConnectionProvider]
    javax.el.ELException: org.hibernate.service.UnknownServiceException: Unknown service requested [org.hibernate.engine.jdbc.connections.spi.ConnectionProvider]
    at org.apache.el.parser.AstValue.invoke(AstValue.java:260)
    at org.apache.el.MethodExpressionImpl.invoke(MethodExpressionImpl.java:267)
    at javax.faces.event.MethodExpressionActionListener.processAction(MethodExpressionActionListener.java:149)
    at javax.faces.event.ActionEvent.processListener(ActionEvent.java:88)
    at javax.faces.component.UIComponentBase.broadcast(UIComponentBase.java:813)
    at javax.faces.component.UICommand.broadcast(UICommand.java:300)
    at javax.faces.component.UIViewRoot.broadcastEvents(UIViewRoot.java:790)
    at javax.faces.component.UIViewRoot.processApplication(UIViewRoot.java:1282)
    at com.sun.faces.lifecycle.InvokeApplicationPhase.execute(InvokeApplicationPhase.java:81)
    at com.sun.faces.lifecycle.Phase.doPhase(Phase.java:101)
    at com.sun.faces.lifecycle.LifecycleImpl.execute(LifecycleImpl.java:198)
    at javax.faces.webapp.FacesServlet.service(FacesServlet.java:646)
    at org.apache.catalina.core.ApplicationFilterChain.internalDoFilter(ApplicationFilterChain.java:292)
    at org.apache.catalina.core.ApplicationFilterChain.doFilter(ApplicationFilterChain.java:207)
    at org.apache.tomcat.websocket.server.WsFilter.doFilter(WsFilter.java:52)
    at org.apache.catalina.core.ApplicationFilterChain.internalDoFilter(ApplicationFilterChain.java:240)
    at org.apache.catalina.core.ApplicationFilterChain.doFilter(ApplicationFilterChain.java:207)
    at org.apache.catalina.core.StandardWrapperValve.invoke(StandardWrapperValve.java:212)
    at org.apache.catalina.core.StandardContextValve.invoke(StandardContextValve.java:106)
    at org.apache.catalina.authenticator.AuthenticatorBase.invoke(AuthenticatorBase.java:502)
    at org.apache.catalina.core.StandardHostValve.invoke(StandardHostValve.java:141)
    at org.apache.catalina.valves.ErrorReportValve.invoke(ErrorReportValve.java:79)
    at org.apache.catalina.valves.AbstractAccessLogValve.invoke(AbstractAccessLogValve.java:616)
    at org.apache.catalina.core.StandardEngineValve.invoke(StandardEngineValve.java:88)
    at org.apache.catalina.connector.CoyoteAdapter.service(CoyoteAdapter.java:522)
    at org.apache.coyote.http11.AbstractHttp11Processor.process(AbstractHttp11Processor.java:1095)
    at org.apache.coyote.AbstractProtocol$AbstractConnectionHandler.process(AbstractProtocol.java:672)
    at org.apache.tomcat.util.net.NioEndpoint$SocketProcessor.doRun(NioEndpoint.java:1500)
    at org.apache.tomcat.util.net.NioEndpoint$SocketProcessor.run(NioEndpoint.java:1456)
    at java.util.concurrent.ThreadPoolExecutor.runWorker(Unknown Source)
    at java.util.concurrent.ThreadPoolExecutor$Worker.run(Unknown Source)
    at org.apache.tomcat.util.threads.TaskThread$WrappingRunnable.run(TaskThread.java:61)
    at java.lang.Thread.run(Unknown Source)
Caused by: org.hibernate.service.UnknownServiceException: Unknown service requested [org.hibernate.engine.jdbc.connections.spi.ConnectionProvider]
    at org.hibernate.service.internal.AbstractServiceRegistryImpl.getService(AbstractServiceRegistryImpl.java:201)
    at org.hibernate.internal.AbstractSessionImpl.getJdbcConnectionAccess(AbstractSessionImpl.java:341)
    at org.hibernate.engine.jdbc.internal.JdbcCoordinatorImpl.<init>(JdbcCoordinatorImpl.java:114)
    at org.hibernate.engine.transaction.internal.TransactionCoordinatorImpl.<init>(TransactionCoordinatorImpl.java:89)
    at org.hibernate.internal.SessionImpl.<init>(SessionImpl.java:258)
    at org.hibernate.internal.SessionFactoryImpl$SessionBuilderImpl.openSession(SessionFactoryImpl.java:1589)
    at org.hibernate.internal.SessionFactoryImpl.openSession(SessionFactoryImpl.java:999)",0,0,1,0,1,0,0,1,1,1,0,1,1,0,1,1,1,1,1,http://pt.stackoverflow.com/questions/122855/como-fazer-uma-express%C3%A3o-regular-para-validar-senha-jsf,
Acessar itens de uma pilha usando for,"Estou tentando acessar uma posição a frente na pilha para fazer uma comparação, mas não esta dando certo e não consegui entender esse for.

Código

for ( String UmToken : PilhaTokens) 
{
    System.out.println(UmToken);
}
Comparação que eu queria fazer

for ( String UmToken : PilhaTokens) 
{
     if(listaReserva.contains(UmToken) && listaOperadores.contains(UmToken+1))
     {
         System.out.println(""Variavel com nome de Palavra Reservada"");

     }
}
Alguém sabe me indicar algo que explique o for, ou me sugerir algo?",1,1,0,0,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,http://pt.stackoverflow.com/questions/122395/acessar-itens-de-uma-pilha-usando-for,
Alterar comportamento padrão de elemento p:confirmDialog,"Preciso alterar o comportamento padrão do elemento p:confirmDialog. Ao clicar em sim, ele deve completar a request passando um valor e ao clicar em não, deve completar a request passando outro valor.

<p:commandButton value=""Consultar""  onclick=""consultar.show()"">  
    <p:confirmDialog id=""consultar"" message=""Foi feito a venda de recarga para esse cliente?"" header=""Confirmação"" severity=""alert"" widgetVar=""consultar"">  
        <p:commandButton id=""confirmaBtn"" value=""Sim"" oncomplete=""consultar.hide()"" action=""#{notaFiscalBean.consultarNota}"">
            <f:setPropertyActionListener target=""#{notaFiscalBean.temRecarga}"" value=""1"" />    
        </p:commandButton>
        <p:commandButton id=""recusaBtn"" value=""Não"" oncomplete=""consultar.hide()"" action=""#{notaFiscalBean.consultarNota}"">
            <f:setPropertyActionListener target=""#{notaFiscalBean.temRecarga}"" value=""0"" />
        </p:commandButton>   
    </p:confirmDialog>
</p:commandButton>  
Mas essa solução não está funcionando. Alguém tem alguma ideia do que posso fazer? Obrigado!",1,1,0,0,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,http://pt.stackoverflow.com/questions/122281/alterar-comportamento-padr%C3%A3o-de-elemento-pconfirmdialog,
Converter String em Calendar,"Estou tentando fazer uma conversão de String para Calendar mas sem sucesso.

Minha String é no formato dd/MM/yyyy. Preciso converter para yyyy-MM-dd E setar em um objeto do tipo Calendar.  void setDATAFUNDACAO(java.util.Calendar value);

Aqui meu codigo atual

SimpleDateFormat sdf = new SimpleDateFormat(""yyyy-MM-dd"");
    Date date = sdf.parse(""07/04/2016"");
    Calendar cal =  sdf.getCalendar();
Mas infelizmente ele lança essa exception

Exception in thread ""main"" java.text.ParseException: Unparseable date: ""07/04/2016"" at java.text.DateFormat.parse(DateFormat.java:337) at teste.main(teste.java:54)",1,1,0,0,1,1,0,1,1,1,1,1,1,0,1,0,1,1,1,http://pt.stackoverflow.com/questions/122216/converter-string-em-calendar,
Validação de campos nulos do JTextField,"No meu sistema, tenho uma janela e um controller, mas por algum motivo, ele nunca esta lançando o erro, como esperado :

Método que faz a validação :

private void validacao(){
    if((form.txtNome.getText() != null) && (form.txtEnd.getText() != null) && (form.txtTel.getText() != null)){
        eventosForm();
    }else{
        JOptionPane.showMessageDialog(null, ""Todos os campos devem estar preenchidos !"");
    }
}
Método que pega os valores dos campos :

private void eventosForm(){
    form.btnCadastrar.addActionListener(new ActionListener() {  
        @Override
        public void actionPerformed(ActionEvent e) {
            Cliente cliente = new Cliente();
            cliente.setNome(form.txtNome.getText());
            cliente.setEndereco(form.txtEnd.getText());
            cliente.setTelefone(form.txtTel.getText());
            clienteDB.add(cliente);
            form.setVisible(false);
        }
    });
}
Como disse antes, mesmo eu deixando todos os campos nulos, ele realiza o cadastro, acredito que possa ser por se tratar de um método void, mas não tenho certeza ...",1,1,0,0,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,http://pt.stackoverflow.com/questions/122190/valida%C3%A7%C3%A3o-de-campos-nulos-do-jtextfield,
Qual a vantagem de usar JUnit para testar métodos de uma classe?,"Eu criei uma aplicação que basicamente é uma classe que testa se os métodos de outra classe estão retornando os valores esperados. Meu professor pediu para que eu refizesse essa classe como um caso de teste do JUnit. Fiz o que ele pediu, mas no final obtenho o mesmo resultado que teria quando uso apenas uma classe normal. Que vantagens posso tirar do JUnit nesse caso?",0,0,0,0,1,0,0,1,1,0,1,1,1,0,1,1,1,1,1,http://pt.stackoverflow.com/questions/121670/qual-a-vantagem-de-usar-junit-para-testar-m%C3%A9todos-de-uma-classe,
Pegar valor selecionado do JComboBox populado com Enum,"Então galera, minha dúvida é a seguinte:

Eu tenho na minha janela um JComboBox com itens de um enum, e um JLabel para mostrar o valor do item selecionado no combo.

Até ai tudo bem, estou conseguindo fazer isso, só que estou meio inseguro se estou fazendo do jeito certo, pois não sei se existe uma maneira mais eficiente de fazer isso...

Evento do JComboBox :

form.cmbPizza.addActionListener(new ActionListener() {
            @Override
            public void actionPerformed(ActionEvent arg0) {
                if(form.cmbPizza.getSelectedItem() != null){
                    if(Pizzas.CALABRESA == (Pizzas) form.cmbPizza.getSelectedItem()){
                        form.lblPrecoPizza.setText(""R$ "" + Pizzas.CALABRESA.preco);
                    }
                }else{
                    form.lblPrecoPizza.setText(""R$ 0,00"");
                }
            }
        });
Enum :

        public enum Pizzas {

            CALABRESA(""25,99""), MUSSARELA(""25,99""), PALMITO(""19,99""), PORTUGUESA(""19,99""),
 CATUPIRY(""25,99""), PROVOLONE(""19,99""), LOMBO(""29,99"");

            public String preco;

            private Pizzas(String s) {
                preco = s; 
            }

        }
A questão é que eu tenho vários itens no enum, dai surge minha dúvida, vou ter que fazer isso que eu acabei de fazer com todos os itens ou existe uma forma menos complicada e mais eficiente de fazer isso ?",1,1,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,http://pt.stackoverflow.com/questions/121292/pegar-valor-selecionado-do-jcombobox-populado-com-enum,
É possível carregar classes dinamicamente e usá-las como tipo?,"Estou tentando fazer um código que carregue classes dinamicamente e possa usá-las para criar instancias e serem usadas para cast. Eu consigo criar uma instância na classe recém carregada usando o método minhaclasse.newInstance() , mas não consigo usar a classe recém carregada como se fosse um tipo. Por exemplo: minhaClasse meuObj = new minhaClasse(); Não funciona. É possível fazer isso?

Segue o código que eu estava tentando fazer:

URL classUrl;
classUrl = new URL(""file:///C:/classes/"");
URL[] classUrls = { classUrl };
URLClassLoader ucl = new URLClassLoader(classUrls);
Class c = ucl.loadClass(""Operation"");
Class MyIn = ucl.loadClass(""MyInter""); 
Object o = c.newInstance(); //ISSO FUNCIONA
System.out.println(((MyIn) o).sum(2, 4)); //ISSO NÃO FUNCIONA. Mensagem de erro: MyIn cannot be resolved to a type",1,1,0,0,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,http://pt.stackoverflow.com/questions/121160/%C3%89-poss%C3%ADvel-carregar-classes-dinamicamente-e-us%C3%A1-las-como-tipo,
Retorna os dados do banco em um jtextfield,"Estou com uma dúvida com relação a listar os dados que gravei em um banco de dados para um JTextField. Criei uma tela, com o campo para o usuário digitar o ID do cadastro no banco e um botão FILTRAR. Quero que, quando clique em filtrar, apareça os dados daquele ID nos JTextField que criei. Segue o Código do botão filtrar e o código de listar do banco.

Filtrar:

Código

JButton btnFiltrar = new JButton(""Filtrar"");
    btnFiltrar.addActionListener(new ActionListener() {
        public void actionPerformed(ActionEvent arg0) {
            GerenciaAgenda ga = new GerenciaAgenda();
            Agenda a = new Agenda();
            a.setId(Integer.parseInt(txtID.getText()));
            ga.selecionar(a.getId());
            txtNome.setText(a.getNome());
            txtEmail.setText(a.getEmail());
            txtCpf.setText(a.getCpf());
        }
    });
Metodo para fazer a seleção:

public Agenda selecionar(int id){
        Connection c = new Conexao().criarConexao();
        String sql = ""SELECT * FROM agenda WHERE id=?"";
        try {
            PreparedStatement p = c.prepareStatement(sql);
            p.setInt(1, id);

            ResultSet resultado = p.executeQuery();

            if (resultado.next()){
                Agenda a = new Agenda();
                a.setId(id);
                a.setNome( resultado.getString(""nome""));
                a.setEmail(  resultado.getString(""email""));
                a.setCpf( resultado.getString(""cpf""));
                return a;
            }

        } catch (SQLException ex) {
            Logger.getLogger(GerenciaAgenda.class.getName()).log(Level.SEVERE, null, ex);
        } finally {
            new Conexao().fecharConexao(c);    
        }
        return null;
    }
Alguem poderia ajudar ? no que estou errando ?",1,1,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,http://pt.stackoverflow.com/questions/120989/retorna-os-dados-do-banco-em-um-jtextfield,
Não consigo atribuir valor a um ArrayList de um Objeto,"É o seguinte galera, no meu projeto tenho três classes diferentes, uma é um model (Cliente), uma é a main, que tem um arraylist de Cliente, e outra é uma janela.

Meu intuito é cadastrar os dados digitados na janela no arraylist do objeto, mas não estou conseguindo !

Classe Cliente (model) : Classe normal, com getters e setters de nome, endereço e telefone.

Classe Main :

package br.projeto.view;

import java.util.ArrayList;
import br.projeto.model.Cliente;

public class Main {

    public static ArrayList <Cliente> clienteDB = new ArrayList<>();

    public static void main(String[] args) {
        //new Principal();
        //new PedidoRapido();
        new Cadastrar();
    }
}
Classe Cadastrar (parte que importa [janela]):

btnCadastrar.addActionListener(new ActionListener() {

            @Override
            public void actionPerformed(ActionEvent arg0) {
                Main.clienteDB.setNome("""");
            }
        });
A questão é que nesse Main.clienteDB.setNome só foi colocado ai para exemplificar o que eu quero fazer, pois não estou conseguindo acessar nenhum atributo do objeto Cliente. O que devo fazer ?",1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,http://pt.stackoverflow.com/questions/120266/n%C3%A3o-consigo-atribuir-valor-a-um-arraylist-de-um-objeto,
Comparação de BigDecimal retorna resultado inesperado,"Em um dos meus métodos realizo a seguinte comparação, como no exemplo abaixo:

public static void main(String[] args) {

    BigDecimal valor = new BigDecimal(""100"");
    exemplo(valor);

}

public static void exemplo(BigDecimal valor) {
    if (valor.compareTo(new BigDecimal(""50.000"")) == 1 || valor.compareTo(new BigDecimal(""50.000"")) == 0) {
        System.out.println(""número maior"");
    }
}
Passando como parâmetro o valor ""100"", o problema é que a class BigDecimal acaba considerando o valor ""100"" maior que o valor ""50.000"", tentei passar o valor como: ""50.000.00"" para tentar solucionar o problema, mas a classe não me permite fazer isso, alguma solução?",1,1,0,0,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,http://pt.stackoverflow.com/questions/120192/compara%C3%A7%C3%A3o-de-bigdecimal-retorna-resultado-inesperado,
